+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|       Launch Clock       |      Capture Clock       |                                                 Pin                                                      |
+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |design_1_i/ila_1/U0/ila_core_inst/u_trig/U_TM/N_DDR_MODE.G_NMU[2].U_M/allx_typeA_match_detection.ltlib_v1_0_0_allx_typeA_inst/probeDelay1_reg[0]/D|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                        design_1_i/ila_1/U0/ila_core_inst/shifted_data_in_reg[7][2]_srl8/D|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                            design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/vtg_vsync_bp_reg/D|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                             design_1_i/v_axi4s_vid_out_0/inst/FORMATTER_INST/fivid_reset_full_frame_reg/D|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                          design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/fifo_pix_error_reg/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                          design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/status_reg_reg[13]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                          design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/status_reg_reg[21]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                          design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/status_reg_reg[17]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                          design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/status_reg_reg[24]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                           design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/vtg_vsync_dly_reg/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                          design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/status_reg_reg[25]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                          design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/status_reg_reg[18]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                           design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/status_reg_reg[5]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                           design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/status_reg_reg[9]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                              design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/sof_ignore_reg/D|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                            design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/fifo_sof_dly_reg/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                           design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/status_reg_reg[0]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                          design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/status_reg_reg[12]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                          design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/status_reg_reg[11]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                          design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/status_reg_reg[10]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                           design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/status_reg_reg[6]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                           design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/status_reg_reg[7]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                           design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/status_reg_reg[1]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                           design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/state_dly_reg[0]/CE|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                           design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/state_dly_reg[1]/CE|
